wordnet,wikipedia,source
arrested_development.n.01,fixation_(psychology),BABELNET
arrival.n.03,Arrival_(film),BING
arrogance.n.01,Arrogance,BING
arrow.n.01,Arrow_(TV_series),BING
arrowhead.n.01,arrowhead,BABELNET
arroyo.n.01,arroyo_(creek),BABELNET
arsenal.n.01,Arsenal,BING
arsenic.n.01,arsenic_trioxide,BABELNET
arsenic_acid.n.01,arsenic_acid,BABELNET
arsenopyrite.n.01,arsenopyrite,BABELNET
arsine.n.01,arsine,BABELNET
arson.n.01,arson,BABELNET
arsonist.n.01,Arson,BING
arteriosclerosis.n.01,arteriosclerosis,BABELNET
artery.n.01,artery,BABELNET
arthritis.n.01,arthritis,BABELNET
arthropod.n.01,arthropod,BABELNET
artichoke.n.01,artichoke,BABELNET
